published_at,value,sensorid
2019-12-31 23:44:59,0.347,71
2019-12-31 23:30:00,0.282,71
2019-12-31 23:15:00,0.344,71
2019-12-31 22:59:59,0.238,71
2019-12-31 22:45:00,0.345,71
2019-12-31 22:30:00,0.25,71
2019-12-31 22:14:59,0.452,71
2019-12-31 22:00:00,0.369,71
2019-12-31 21:45:00,0.255,71
2019-12-31 21:29:59,0.341,71
2019-12-31 21:15:00,0.281,71
2019-12-31 21:00:00,0.302,71
2019-12-31 20:44:59,0.392,71
2019-12-31 20:30:00,0.202,71
2019-12-31 20:15:00,0.348,71
2019-12-31 19:59:59,0.242,71
2019-12-31 19:45:00,0.383,71
2019-12-31 19:30:00,0.294,71
2019-12-31 19:14:59,0.404,71
2019-12-31 19:00:00,0.361,71
2019-12-31 18:45:00,0.283,71
2019-12-31 18:29:59,0.307,71
2019-12-31 18:15:00,0.397,71
2019-12-31 18:00:00,0.321,71
2019-12-31 17:44:59,0.363,71
2019-12-31 17:30:00,0.264,71
2019-12-31 17:15:00,0.342,71
2019-12-31 16:59:59,0.282,71
2019-12-31 16:45:00,0.454,71
2019-12-31 16:30:00,0.271,71
2019-12-31 16:14:59,0.433,71
2019-12-31 16:00:00,0.334,71
2019-12-31 15:45:00,0.357,71
2019-12-31 15:29:59,0.334,71
2019-12-31 15:15:00,0.355,71
2019-12-31 15:00:00,0.261,71
2019-12-31 14:44:59,0.328,71
2019-12-31 14:30:00,0.28,71
2019-12-31 14:15:00,0.39,71
2019-12-31 13:59:59,0.423,71
2019-12-31 13:45:00,0.426,71
2019-12-31 13:30:00,0.385,71
2019-12-31 13:14:59,0.483,71
2019-12-31 13:00:00,0.364,71
2019-12-31 12:45:00,0.469,71
2019-12-31 12:29:59,0.367,71
2019-12-31 12:15:00,0.66,71
2019-12-31 11:44:59,0.575,71
2019-12-31 10:59:59,0.495,71
2019-12-31 10:14:59,0.713,71
2019-12-31 09:45:00,0.589,71
2019-12-31 09:29:59,0.499,71
2019-12-31 09:00:00,0.684,71
2019-12-31 08:44:59,0.816,71
2019-12-31 08:30:00,0.663,71
2019-12-31 08:15:00,0.861,71
2019-12-31 07:59:59,0.801,71
2019-12-31 07:45:00,0.855,71
2019-12-31 07:30:00,0.829,71
2019-12-31 07:00:00,0.629,71
2019-12-31 06:29:59,0.66,71
2019-12-31 06:15:00,0.836,71
2019-12-31 05:44:59,0.405,71
2019-12-31 05:30:00,0.294,71
2019-12-31 05:15:00,0.329,71
2019-12-31 04:45:00,0.318,71
2019-12-31 03:00:00,0.275,71
2019-12-31 02:44:59,0.343,71
2019-12-31 02:30:00,0.305,71
2019-12-31 01:59:59,0.351,71
2019-12-31 01:45:00,0.287,71
2019-12-31 01:30:00,0.41,71
2019-12-31 00:45:00,0.412,71
2019-12-31 00:29:59,0.206,71
2019-12-31 00:15:00,0.373,71
2019-12-30 23:44:59,0.328,71
2019-12-30 23:15:00,0.316,71
2019-12-30 22:59:59,0.361,71
2019-12-30 22:14:59,0.433,71
2019-12-30 21:45:00,0.366,71
2019-12-30 21:00:00,0.306,71
2019-12-30 20:44:59,0.381,71
2019-12-30 20:30:00,0.304,71
2019-12-30 20:15:00,0.292,71
2019-12-30 19:45:00,0.261,71
2019-12-30 19:30:00,0.465,71
2019-12-30 19:00:00,0.257,71
2019-12-30 18:45:00,0.325,71
2019-12-30 18:29:59,0.328,71
2019-12-30 18:15:00,0.378,71
2019-12-30 18:00:00,0.434,71
2019-12-30 17:44:59,0.305,71
2019-12-30 17:30:00,0.406,71
2019-12-30 17:15:00,0.277,71
2019-12-30 16:59:59,0.392,71
2019-12-30 16:45:00,0.371,71
2019-12-30 16:30:00,0.336,71
2019-12-30 16:14:59,0.472,71
2019-12-30 16:00:00,0.312,71
2019-12-30 15:45:00,0.382,71
2019-12-30 15:29:59,0.339,71
2019-12-30 15:15:00,0.392,71
2019-12-30 15:00:00,0.354,71
2019-12-30 14:44:59,0.29,71
2019-12-30 14:30:00,0.399,71
2019-12-30 14:15:00,0.265,71
2019-12-30 13:59:59,0.439,71
2019-12-30 13:45:00,0.331,71
2019-12-30 13:30:00,0.477,71
2019-12-30 13:14:59,0.379,71
2019-12-30 13:00:00,0.39,71
2019-12-30 12:45:00,0.444,71
2019-12-30 12:29:59,0.603,71
2019-12-30 12:15:00,0.543,71
2019-12-30 12:00:00,0.643,71
2019-12-30 11:44:59,0.713,71
2019-12-30 11:30:00,0.753,71
2019-12-30 11:15:00,0.714,71
2019-12-30 10:59:59,0.538,71
2019-12-30 10:45:00,0.727,71
2019-12-30 10:30:00,0.616,71
2019-12-30 10:14:59,0.745,71
2019-12-30 10:00:00,0.689,71
2019-12-30 09:45:00,0.69,71
2019-12-30 09:29:59,0.652,71
2019-12-30 09:15:00,0.655,71
2019-12-30 09:00:00,0.713,71
